Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,0.0,114.60213901514405,-0.3884824685319046,849.6323138560177,-0.16041834335796334,-241.3892095118614,0.5617098850547677
-90.0,1.0,114.86528987834191,-0.7192087322832919,850.7150666857315,11.675926210076794,-242.0926489791912,-0.41283116823354504
-90.0,2.0,115.03979485337226,-1.0859956118816143,851.7870305866649,24.061748404356475,-242.8667054043047,-1.4748806357582893
-90.0,3.0,115.14955337370023,-1.4740634346601809,852.882002828839,36.87094775660061,-243.73105294343657,-2.5719046611987757
-90.0,4.0,115.21796228122628,-1.8783467822290305,854.0198491485841,49.95146020319747,-244.6982157197151,-3.6549892645431648
-90.0,5.0,115.2643329062387,-2.306857980230504,855.2001758892083,63.12713629985707,-245.7692873321314,-4.68742957129048
-90.0,6.0,115.30064141873683,-2.7820228990113947,856.3973488344773,76.19986264386499,-246.92990577691643,-5.652410489183541
-90.0,7.0,115.32973740541536,-3.3390644470716637,857.5594569740136,88.95653095666803,-248.14874422301102,-6.556587958710683
-90.0,8.0,115.34690707165456,-4.019295505387902,858.6155294470508,101.18817544553193,-249.38216072600045,-7.424055533408634
-90.0,9.0,115.34294813623174,-4.862145103326299,859.4868769697573,112.71338453338053,-250.5813825095816,-8.287328168093453
-90.0,10.0,115.30764730029622,-5.898497761365405,860.1001042478875,123.401030323052,-251.69997280067054,-9.179422122712424
-90.0,11.0,115.23358611263694,-7.145429405973317,860.4014555387138,133.19248953132134,-252.70141024795055,-10.12712981083651
-90.0,12.0,115.11919061240539,-8.603266036796441,860.368353404875,142.11476431923438,-253.56497302073865,-11.1473474773309
-90.0,13.0,114.96922433669147,-10.257207727249536,860.0115458644191,150.2690163132528,-254.28699195950878,-12.249621662637207
-90.0,14.0,114.79396039009049,-12.080961894151315,859.372519255753,157.81005484573723,-254.87998925443117,-13.440230236201359
-90.0,15.0,114.60763157495543,-14.040860692812785,858.5184521036967,164.92445258874375,-255.37110481323015,-14.724114466366416
-90.0,16.0,114.42593782559302,-16.100546354299475,857.5339246960983,171.80495103132446,-255.79963525867805,-16.103416372694053
-90.0,17.0,114.26263119024816,-18.226243944692534,856.5096056763762,178.62042159447478,-256.2136893433806,-17.572699835480627
-90.0,18.0,114.12588650521093,-20.392275279153125,855.5295951310425,185.4846680049231,-256.6661720080783,-19.112765525826497
-90.0,19.0,114.01729264939567,-22.58468476844132,854.6625545904944,192.44407183047716,-257.2103989427227,-20.69102172729957
-90.0,20.0,113.93474559269274,-24.801690719031065,853.9588976591779,199.49406487859372,-257.8955107906421,-22.27206244394462
-90.0,21.0,113.87651101965173,-27.052787350395782,853.449330989589,206.60334164579638,-258.76169490009556,-23.8301692115032
-90.0,22.0,113.84386218029931,-29.355833950158207,853.1444480064015,213.73333951469277,-259.8364858577126,-25.357389221535737
-90.0,23.0,113.83983152263087,-31.730530368721354,853.0376615439488,220.84302964542064,-261.1342234458254,-26.86121630660344
-90.0,24.0,113.86661015833349,-34.19060101952765,853.1087942362332,227.89046417013097,-262.65667277497244,-28.358336226446603
-90.0,25.0,113.92314566301891,-36.73703504173241,853.3265943689177,234.83779425424933,-264.3935954114054,-29.868429332851782
